AGE,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,BEHAVIOR,COUNT,POPULATION,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,PERCENT POPULATION AFFECTED
0-19,0,0,0,Benign/Borderline,20,200815055,Female,All other,2013-2017,0,0,0,9.95941E-06
0-19,0,0,0,Malignant,31,200815055,Female,All other,2013-2017,0,0,0,1.54371E-05
0-19,0.1,0.1,0.1,Malignant,44,39865121,Female,Anaplastic astrocytoma,2004,0.1,0.1,0.1,0.000110372
0-19,0,0.1,0.1,Malignant,25,39998876,Female,Anaplastic astrocytoma,2005,0,0.1,0.1,6.25018E-05
0-19,0.1,0.1,0.1,Malignant,31,40165421,Female,Anaplastic astrocytoma,2006,0.1,0.1,0.1,7.71808E-05
0-19,0.1,0.1,0.1,Malignant,31,40382360,Female,Anaplastic astrocytoma,2007,0.1,0.1,0.1,7.67662E-05
0-19,0.1,0.1,0.1,Malignant,32,40576293,Female,Anaplastic astrocytoma,2008,0.1,0.1,0.1,7.88638E-05
0-19,0.1,0.1,0.1,Malignant,30,40670476,Female,Anaplastic astrocytoma,2009,0,0.1,0.1,7.37636E-05
0-19,0.1,0.1,0.1,Malignant,40,40632802,Female,Anaplastic astrocytoma,2010,0.1,0.1,0.1,9.84426E-05
0-19,0.1,0.1,0.1,Malignant,39,40459979,Female,Anaplastic astrocytoma,2011,0.1,0.1,0.1,9.63915E-05
0-19,0,0.1,0.1,Malignant,24,40305950,Female,Anaplastic astrocytoma,2012,0,0.1,0.1,5.95446E-05
0-19,0.1,0.2,0.1,Malignant,50,40209737,Female,Anaplastic astrocytoma,2013,0.1,0.2,0.1,0.000124348
0-19,0.1,0.1,0.1,Malignant,178,200815055,Female,Anaplastic astrocytoma,2013-2017,0.1,0.1,0.1,8.86388E-05
0-19,0.1,0.1,0.1,Malignant,40,40151698,Female,Anaplastic astrocytoma,2014,0.1,0.1,0.1,9.96222E-05
0-19,0.1,0.1,0.1,Malignant,34,40146685,Female,Anaplastic astrocytoma,2015,0.1,0.1,0.1,8.46894E-05
0-19,0,0.1,0.1,Malignant,29,40165280,Female,Anaplastic astrocytoma,2016,0,0.1,0.1,7.22017E-05
0-19,0,0.1,0.1,Malignant,25,40141655,Female,Anaplastic astrocytoma,2017,0,0.1,0.1,6.22794E-05
0-19,0.2,0.3,0.2,Malignant,93,39865121,Female,"Astrocytoma, NOS",2004,0.2,0.3,0.2,0.000233287
0-19,0.2,0.3,0.2,Malignant,92,39998876,Female,"Astrocytoma, NOS",2005,0.2,0.3,0.2,0.000230006
0-19,0.2,0.3,0.2,Malignant,89,40165421,Female,"Astrocytoma, NOS",2006,0.2,0.3,0.2,0.000221584
0-19,0.2,0.3,0.2,Malignant,85,40382360,Female,"Astrocytoma, NOS",2007,0.2,0.3,0.2,0.000210488
0-19,0.2,0.3,0.2,Malignant,85,40576293,Female,"Astrocytoma, NOS",2008,0.2,0.3,0.2,0.000209482
0-19,0.2,0.3,0.2,Malignant,96,40670476,Female,"Astrocytoma, NOS",2009,0.2,0.3,0.2,0.000236043
0-19,0.2,0.3,0.2,Malignant,93,40632802,Female,"Astrocytoma, NOS",2010,0.2,0.3,0.2,0.000228879
0-19,0.2,0.2,0.2,Malignant,81,40459979,Female,"Astrocytoma, NOS",2011,0.2,0.2,0.2,0.000200198
0-19,0.2,0.3,0.2,Malignant,84,40305950,Female,"Astrocytoma, NOS",2012,0.2,0.3,0.2,0.000208406
0-19,0.2,0.3,0.2,Malignant,99,40209737,Female,"Astrocytoma, NOS",2013,0.2,0.3,0.2,0.000246209
0-19,0.2,0.2,0.2,Malignant,425,200815055,Female,"Astrocytoma, NOS",2013-2017,0.2,0.2,0.2,0.000211638
0-19,0.2,0.3,0.3,Malignant,101,40151698,Female,"Astrocytoma, NOS",2014,0.2,0.3,0.3,0.000251546
0-19,0.1,0.2,0.2,Malignant,74,40146685,Female,"Astrocytoma, NOS",2015,0.1,0.2,0.2,0.000184324
0-19,0.2,0.2,0.2,Malignant,79,40165280,Female,"Astrocytoma, NOS",2016,0.2,0.2,0.2,0.000196687
0-19,0.1,0.2,0.2,Malignant,72,40141655,Female,"Astrocytoma, NOS",2017,0.1,0.2,0.2,0.000179365
0-19,0,0.1,0.1,Benign/Borderline,29,39865121,Female,Choroid plexus,2004,0,0.1,0.1,7.27453E-05
0-19,0,0.1,0.1,Benign/Borderline,21,39998876,Female,Choroid plexus,2005,0,0.1,0.1,5.25015E-05
0-19,0,0.1,0.1,Benign/Borderline,28,40165421,Female,Choroid plexus,2006,0,0.1,0.1,6.97117E-05
0-19,0,0.1,0.1,Benign/Borderline,30,40382360,Female,Choroid plexus,2007,0.1,0.1,0.1,7.42899E-05
0-19,0.1,0.1,0.1,Benign/Borderline,42,40576293,Female,Choroid plexus,2008,0.1,0.1,0.1,0.000103509
0-19,0,0.1,0.1,Benign/Borderline,22,40670476,Female,Choroid plexus,2009,0,0.1,0.1,5.40933E-05
0-19,0,0.1,0.1,Benign/Borderline,29,40632802,Female,Choroid plexus,2010,0,0.1,0.1,7.13709E-05
0-19,0,0.1,0.1,Benign/Borderline,27,40459979,Female,Choroid plexus,2011,0,0.1,0.1,6.67326E-05
0-19,0,0.1,0.1,Benign/Borderline,24,40305950,Female,Choroid plexus,2012,0,0.1,0.1,5.95446E-05
0-19,0,0.1,0.1,Benign/Borderline,29,40209737,Female,Choroid plexus,2013,0,0.1,0.1,7.21218E-05
0-19,0.1,0.1,0.1,Benign/Borderline,136,200815055,Female,Choroid plexus,2013-2017,0.1,0.1,0.1,6.7724E-05
0-19,0,0,0,Malignant,44,200815055,Female,Choroid plexus,2013-2017,0,0,0,2.19107E-05
